	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29	c30	c31	c32	c33	c34	c35	c36	c37	c38	c39	c40	c41	c42	c43	c44	c45	c46	c47	c48	c49	c50	c51	c52	c53	c54	c55	c56	c57	c58	c59	c60	c61	c62	c63	c64	c65	c66	c67	c68	c69	c70	c71	c72	c73	c74	c75
c28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c29	0	0	0	0,3	0	0,4	0	0	0	0,6	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c30	0	0	0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c31	0	0	0	0	0	0	0	0	0	0,6	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0,5	-0,8	-0,4	0	0	0	0	0	0,4	0	0	0	0	0	0	0
c32	0	0	0	0	0	0	0	0	0	0,8	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,4	-0,2	0	0	0	0	0	0	0,7	0	0	0	0	0	0
c33	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,7	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	-0,7
c34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0,6	0,6	0,4	0	0	0	0	0	0	0	0,6	0,7	0,5	0	0,4	0	0	0,5	0	0	0	0	0	0	0	0	0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c35	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c37	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0,7	0,7	0	0	0,6	0	0	0	0	0	0	0	0	0,7	0,5	0,7	0,5	0	0	0	0	0,6	0	0	0	0,4	0,9	0	0	0	0	0	-0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0,4	0,6	0	0	0	0	0	0	0	0	0,7	0,4	0	0,6	0,6	0,6	0,6	0	0	0,5	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,8	0	0	0	0	0,4	0,6	0,5	0	0	0	0	0	0	0	0	0,6	0,7	0,6	0	0,8	0,9	0	0	0	0	0	0	0,7	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c40	0	0	0	0	0	0	0	0	0	0,3	0,5	0	0	0	0	0	0	0	0,4	0,4	0	0	0	0	0	0	0,4	0,7	0	0,5	0,6	0,6	0	0,3	0	0,4	0,6	0	0	0	0	0	0,3	0,6	0	0	0	0	0,6	0	0	0	0	0,6	0	0	0	0	0	0	0	-0,2	0	0	0	0	0	0	0	0	0	0	0	0	-0,6
c41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0,4	0	0	0	0	0	0	0	0,3	0	0	0	0	0	0	0	0	0	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c42	0	0	0,5	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0,5	0	0,3	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	-0,5	-0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0,5	0,7	0	0	0,3	0,4	0	0	0	0	0,6	0,5	0,5	0,6	0,5	0	0,7	0,6	0	0	0,5	0	0	0	-0,4	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c46	0	0	0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,3
c47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c48	0	0	0	0	0	0	0,4	0	0,4	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	-0,6	0	0,7	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c49	0	0	0	0	0	0	0	0	0	0	0,8	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,6	0	0,7	0	-0,7	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,4	0	0	0	0	0	-0,6	0	0	0	0	0	0	-0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0,4	0	0	0	0,2	0	0	0	0	0,5	0	0	0	0,3	0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,7	0,4	0	0	0	0	0	0	0	0	0	0	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0,7	0	0	0	0	0,4	0	0,6	0	0	0	0	0,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,7	-0,5	0	0	0	0	0	0	0	0	-0,6	0	0	0	-0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,5	0	0	0	0	0	0	0	0	0	-0,5	-0,4	0	0	-0,7	0	0	0	0	0	-0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c59	0	0	0	0	0	0	0	0	0	-0,7	-0,8	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,6	0	0,5	0	0	0	0	0	0	0	-0,6	0	0	0	0	0
c60	0	0	0	0	0	0	0	0	0	0,8	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c61	0	0	0	-0,6	0	-0,6	0	0	0	0	0	0	0	0	0	0	-0,6	0	0	-0,8	0	-0,7	-0,8	0	0	0	0	0	0	-0,5	0	0	0	0	-0,6	0	0	0	0	0	0	0	0	0	-0,7	0	0	0	0	0	0	-0,4	0	0	0	0	0,5	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0
c62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	-0,7	0,4	0	0	0	0	0	0	0	0	-0,5	0	0	0	0	0
c63	0	0	0	0	0	0	0	0	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,5	0	0	0	0	0
c64	0	0	0	0,8	0,6	0,9	0	0	0,4	0,6	0,6	0	0	0,7	0,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,7	0	0	0	0	0	0	0	0	0	0	0	0,3	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0
c65	0	0	0	0	0	0	0	0	0	-0,8	-0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c66	0	0	0,7	0	0	0	0	0	0	0,8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0
c67	0	0	0	0	0	0	0	0	0	-0,3	-0,2	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c68	0	0	0,5	0	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0,3	0,4	0	0	0	0	0	0,3	0,4	0,5	0	0	0	0	0	0	0,4	0,4	0,3	0	0	0	0	0,4	0	0	0	0	0	0	0,4	0	0,4	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0
c69	0,45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0,4	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,4	0,6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,4	0	0	0	0	0	0	0	0	0	0	0	0	-0,3	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0,4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c73	0	0	0	-0,3	0	-0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,4	-0,6	0	0	-0,5	-0,4	0	0	0	0	0	0	0	0	0	0	0	0,5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
